Model,Difficulty,Count,Hit Rate,Precision@5,Recall@5,MRR,Average Similarity,Avg Query Time (s)
Vector RAG,Easy,7,1.0000,0.2000,1.0000,1.0000,0.4564,0.0460
Vector RAG,Medium,7,0.4286,0.1143,0.4286,0.4286,0.4371,0.0602
Vector RAG,Hard,6,0.1667,0.0333,0.1667,0.1667,0.4477,0.0428
BM25 RAG,Easy,7,0.8571,0.1714,0.8571,0.7857,0.3098,0.0118
BM25 RAG,Medium,7,0.4286,0.0857,0.4286,0.3214,0.2611,0.0124
BM25 RAG,Hard,6,0.1667,0.0333,0.1667,0.1667,0.2597,0.0100
Hybrid RAG,Easy,7,0.8571,0.1714,0.8571,0.8571,0.3535,0.0976
Hybrid RAG,Medium,7,0.5714,0.1429,0.5714,0.4762,0.2804,0.0494
Hybrid RAG,Hard,6,0.1667,0.0333,0.1667,0.1667,0.2819,0.0572
Hybrid + Rerank,Easy,7,1.0000,0.2000,1.0000,1.0000,0.4142,0.4248
Hybrid + Rerank,Medium,7,0.7143,0.1714,0.7143,0.7143,0.3466,0.4382
Hybrid + Rerank,Hard,6,0.1667,0.0333,0.1667,0.1667,0.3316,0.5077
